Total score,Spain,Belgium,Belarus,Malta,Germany,Czech Republic,Sweden,Iceland,France,Israel,Russia,Latvia,Montenegro,Andorra,Finland,Switzerland,Bulgaria,Lithuania,United Kingdom,Macedonia,Slovakia,Greece,Bosnia and Herzegovina,Ukraine,Turkey,Albania,Serbia,Cyprus,Poland,Netherlands,Estonia,Croatia,Portugal,Romania,Ireland,Denmark,Moldova,Slovenia,Armenia,Hungary,Azerbaijan,Norway,Country,Year
23,,,,,,,,,,,,7,,,,,1,,4,,,,,,,,,,,,2,,,,7,1,,,,,1,,Lithuania,2009
53,,8,,,,4,,,10,,,,4,7,,1,,,,,5,,8,1,,,,,,,5,,,,,,,,,,,,Israel,2009
107,3,1,7,,3,,,6,,5,10,5,1,3,4,7,,6,1,,,6,6,3,,2,3,,,6,,,,,3,2,,7,6,,,1,France,2009
33,,,,4,,,,3,2,,,,,2,7,,,,,,,,,,,1,,,,,6,,,,,4,,,,,,4,Sweden,2009
45,,,,,,,,1,,,,,8,,,,,,,4,,2,12,,,,5,,,,,,,,,,2,6,,,5,,Croatia,2009
57,8,6,,,,7,,7,7,,,,,6,,10,,,,,2,,1,,,,,,,,3,,,,,,,,,,,,Portugal,2009
218,,,2,12,7,2,10,,,10,3,8,5,8,10,5,5,8,8,2,6,4,,,2,6,,5,1,7,8,2,8,10,12,10,3,5,5,7,,12,Iceland,2009
120,1,5,5,7,6,,2,,,,4,,2,,,2,12,,5,,,,5,,,12,6,12,,1,,7,,8,,,,4,10,4,,,Greece,2009
92,4,7,1,,,12,3,5,6,8,5,,,,1,,6,,,1,3,,,2,6,,,4,2,5,,,4,7,,,,,,,,,Armenia,2009
91,,,8,,5,8,,,,7,,6,,,,,,7,,,,,,8,4,,,1,3,,10,,,,,,6,,12,,6,,Russia,2009
207,,3,10,1,,10,8,,1,6,7,4,6,,2,,8,5,3,3,4,8,3,10,12,4,4,8,6,10,7,10,,4,,8,10,1,1,10,,10,Azerbaijan,2009
106,,,,,2,,5,2,,,,,12,,6,4,4,,,10,8,,,,8,5,12,,,4,,12,,,,,,10,,,2,,Bosnia and Herzegovina,2009
69,5,4,,,,,,,,1,1,,,,,,,,,,,,,7,7,,,,5,,,3,12,12,,,,,2,,7,3,Moldova,2009
31,,,,,4,,,,,,,1,,1,3,,,1,6,,,,,,,,7,,,,,,,3,5,,,,,,,,Malta,2009
129,,,4,,1,,7,10,,,8,10,,,12,,,10,,,12,5,,4,,,,3,8,,,6,,1,6,5,7,,,6,4,,Estonia,2009
74,,,,6,,,,4,5,,,3,,5,,,,2,,,,,,5,,,1,6,7,,,,,2,4,,5,8,,3,,8,Denmark,2009
35,,2,,,,,,,3,,,,,,,,,,7,,,,2,,1,3,,,,2,,,1,,1,7,,,,,,6,Germany,2009
177,2,12,,5,10,1,6,,12,3,,,3,,5,12,10,,12,12,,3,7,,,10,,,,8,,1,3,6,,6,,,4,5,12,7,Turkey,2009
48,,,,,,,1,,,,,,7,,,6,,,,7,,7,,,10,,,,,,1,5,,,,,,2,,2,,,Albania,2009
387,12,10,12,8,12,3,12,12,8,12,12,12,10,10,8,8,2,12,10,8,10,10,10,12,3,7,10,10,12,12,12,8,5,5,8,12,8,12,8,12,8,,Norway,2009
76,6,,6,2,,5,,,,2,2,,,,,,,4,2,,1,,,,,,,,10,,,,6,,,,4,,3,8,10,5,Ukraine,2009
40,7,,,,,,,,,,,,,,,,,,,5,,,,,5,,2,2,,,,,2,,2,,12,,,,3,,Romania,2009
173,10,,3,10,8,6,,,4,4,6,2,,4,,,7,3,,6,7,12,4,6,,8,8,7,4,3,,4,10,,10,3,1,3,7,1,,2,United Kingdom,2009
22,,,,3,,,4,8,,,,,,,,,3,,,,,,,,,,,,,,4,,,,,,,,,,,,Finland,2009
23,,,,,,,,,,,,,,12,,3,,,,,,1,,,,,,,,,,,7,,,,,,,,,,Spain,2009
