Total score,Romania,Ireland,Germany,Serbia,Albania,Turkey,Croatia,Poland,Bosnia and Herzegovina,Finland,Slovenia,Estonia,Russia,Portugal,Azerbaijan,Greece,Iceland,Denmark,France,Spain,Slovakia,Bulgaria,Ukraine,Latvia,Malta,Norway,Cyprus,Lithuania,Belarus,Switzerland,Belgium,United Kingdom,Netherlands,Israel,Macedonia,Moldova,Georgia,Sweden,Armenia,Country,Year
145,,3,,,,12,,8,7,,,,8,,,1,4,2,,7,,12,12,2,12,7,10,,6,2,5,,,7,3,7,8,,,Azerbaijan,2010
68,2,,,,7,,,,,4,5,,4,12,,,,,,,,2,4,5,,,,8,,,1,,,1,,4,2,,7,Spain,2010
35,,2,,,,,,,,,,7,,3,,,,5,,,3,,,,3,,,,,,,,,,,,6,4,2,Norway,2010
27,10,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,4,,,,,,,,1,,,Moldova,2010
27,,,,,,,4,,,,,,,,,12,,1,,,2,4,,,,,,1,,,,,,,,,,3,,Cyprus,2010
51,,,,12,6,8,10,,,,4,,,,,,,,5,,,,,,,,,,,,,,,,6,,,,,Bosnia and Herzegovina,2010
143,4,10,12,5,,,,10,,6,,3,5,5,,6,10,10,7,,10,,1,4,10,3,,7,,7,,,6,,,,,2,,Belgium,2010
72,,,5,,3,,8,,12,,8,,,,,,,,10,,,,,,,,1,,,10,,,1,,7,,,7,,Serbia,2010
18,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,,,,3,12,,,Belarus,2010
25,,,2,,,,1,,,1,,2,,,,,,,,,,,,,,,,,,6,,7,,6,,,,,,Ireland,2010
140,7,,8,10,12,3,,1,6,7,,,,8,,,8,,4,5,5,5,,,7,,12,,,,12,12,3,,,2,,,3,Greece,2010
10,,4,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,3,,,United Kingdom,2010
136,,5,,,,5,7,4,4,,1,8,10,,8,5,2,,,1,,6,7,,,1,5,12,7,1,4,,,5,5,5,,6,12,Georgia,2010
170,8,1,10,3,8,,12,,10,3,2,6,,,12,,,6,12,3,,10,8,,,2,,4,3,3,6,10,8,,10,,5,5,,Turkey,2010
62,1,,1,,,7,5,2,5,,,,,,,10,7,,,,,,,,,,,,,8,3,1,,,12,,,,,Albania,2010
41,,,4,,,,,,,5,,4,,,,3,,3,,,,,,,6,6,,,2,,8,,,,,,,,,Iceland,2010
108,5,,,7,,1,,3,,,,,7,,10,,,,2,,,7,,7,,,6,6,10,,,5,7,2,,8,7,,8,Ukraine,2010
82,,6,3,4,,,3,,3,8,3,1,,7,,8,6,7,,2,,,,,2,4,3,,,,,2,,3,1,,,,6,France,2010
162,,7,,6,5,2,,6,2,,7,,3,10,7,4,5,8,,10,1,,2,3,5,10,8,2,1,4,,8,5,8,,12,,10,1,Romania,2010
90,,,,,,4,,,,,,10,,2,3,,,,,,6,,10,8,,,,5,12,,,,,10,,10,,,10,Russia,2010
141,6,,7,1,,6,,5,,,,,12,,,7,,,6,8,4,8,6,1,,,7,,5,,7,,12,12,4,6,10,1,,Armenia,2010
246,3,8,,8,10,10,6,7,8,12,10,12,6,1,1,2,3,12,3,12,12,3,5,12,4,12,4,10,,12,10,4,4,,8,,,12,,Germany,2010
43,,,6,2,,,,,,,,,,,,,1,4,8,6,,,,6,1,,,,,5,,,,,,,,,4,Portugal,2010
71,,,,,4,,,,1,10,6,,,,5,,,,1,,8,,3,,,5,2,,8,,,3,10,,,1,4,,,Israel,2010
149,12,12,,,2,,2,12,,2,12,5,1,4,4,,12,,,4,7,,,10,8,8,,3,,,2,6,2,4,2,,,8,5,Denmark,2010
