Total score,San Marino,Sweden,Albania,Netherlands,Austria,United Kingdom,Israel,Serbia,Ukraine,Hungary,Romania,Moldova,Azerbaijan,Norway,Armenia,Italy,Finland,Spain,Belarus,Latvia,Bulgaria,Belgium,Russia,Malta,Estonia,Germany,Iceland,France,Greece,Ireland,Denmark,Montenegro,Slovenia,Georgia,Macedonia,Cyprus,Croatia,Switzerland,Lithuania,Country,Year
14,8,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,,,,,1,1,,,,France,2013
17,,,,,,,,,1,,,,3,,,6,,,5,,,,,,,,,,,1,,,,1,,,,,,Lithuania,2013
71,,,,,2,,1,6,8,,12,,1,,,4,,2,4,,3,3,6,,,,,4,,3,,5,,,7,,,,,Moldova,2013
13,3,,,,,,4,,,,,,,,,,,,,,,,,,,1,,3,,,2,,,,,,,,,Finland,2013
8,,,6,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,Spain,2013
71,5,7,,12,3,3,,3,,4,,,,3,,,3,,,2,,,8,,2,,,5,,4,5,,2,,,,,,,Belgium,2013
19,,,,,,,,,,,,,,,,,6,,,10,,,,,,,,,,,,,,,,,,,3,Estonia,2013
48,,,,,,,3,,12,,,4,7,,5,,,,,,,,,2,,,,,1,,,3,,5,5,,,,1,Belarus,2013
120,10,,,8,,7,,,2,8,5,,8,10,6,10,,1,7,5,,,,,5,5,5,2,3,,4,,,3,3,3,,,,Malta,2013
174,,5,,4,,10,7,8,4,,,7,,,7,,2,6,8,12,5,4,,,12,2,1,6,,10,7,7,10,6,6,5,6,,7,Russia,2013
18,,,3,,6,,5,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,1,,Germany,2013
41,1,,,,,,,,6,3,,1,,,,,,,2,,8,,2,1,,,,7,,,,,,10,,,,,,Armenia,2013
114,,8,4,,8,6,,,,5,2,,,8,,,8,,,,,12,3,,7,,8,,,6,10,,7,,2,,2,4,4,Netherlands,2013
65,,4,5,,4,4,,,,,,10,6,6,,1,,,,,,,,7,,,6,1,10,,,1,,,,,,,,Romania,2013
23,,1,,,,,,,,,3,,,,,,,4,,,,,,5,,,,,,7,,,1,,,,,2,,United Kingdom,2013
62,,,,3,,,,1,,,,5,,12,,,4,,,4,4,1,,,1,3,4,,,5,8,,6,,,,1,,,Sweden,2013
84,6,3,8,7,,,,2,,,,,,2,,3,10,,,,6,,,,4,12,,,2,,,,,,,,4,10,5,Hungary,2013
281,,10,1,10,5,12,8,12,5,10,6,6,5,7,4,12,7,8,1,6,2,10,4,6,8,10,12,12,7,12,,10,12,7,12,7,10,3,2,Denmark,2013
47,,6,,,,2,,,,6,,,,4,,,5,,,,,,,,6,8,,,,,1,,4,,,,,5,,Iceland,2013
234,2,,7,2,12,,12,5,10,12,10,8,,,,,,7,10,3,12,5,12,12,,4,7,8,12,2,,12,3,12,,8,7,6,12,Azerbaijan,2013
152,12,,10,1,7,8,2,,,1,7,,4,5,8,7,1,,6,1,7,2,10,4,,6,,,,,6,8,,,4,12,5,8,,Greece,2013
214,,,,5,1,5,10,10,,7,4,12,12,1,12,5,,10,12,7,10,8,1,10,10,,3,,8,8,3,,,8,,10,12,,10,Ukraine,2013
126,4,,12,,10,,,4,,,1,,,,1,,,12,,,,6,,8,,,,10,6,,,6,8,2,10,6,8,12,,Italy,2013
191,7,12,2,6,,,6,7,3,2,8,2,2,,3,8,12,5,3,8,1,7,7,3,3,7,10,,4,,12,4,5,4,8,4,3,7,6,Norway,2013
50,,,,,,,,,7,,,3,10,,10,,,,,,,,5,,,,,,5,,,2,,,,,,,8,Georgia,2013
5,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,Ireland,2013
