Contestants,Total score,Jury score,Televoting score,Sweden,Azerbaijan,San Marino,Latvia,Israel,Montenegro,Albania,Malta,Macedonia,Denmark,Austria,Norway,Spain,Finland,France,Greece,Lithuania,Estonia,Moldova,Armenia,Bulgaria,Iceland,Serbia,Australia,Italy,Germany,Portugal,Switzerland,Netherlands,Ireland,Georgia,Cyprus,Belarus,Romania,Hungary,Slovenia,Belgium,Poland,United Kingdom,Croatia,Czech Republic,Ukraine,Year
Israel,39,34,5,,4.0,,,,,,7.0,,,,5.0,,,6.0,,,,,,8.0,,1.0,,,,,,,,,,1.0,2.0,,,,,,,,,2017
Poland,64,23,41,,6.0,1.0,,,,,,,,,,,,,,,,,,7.0,,,2.0,,,,,,,,,2.0,,,4.0,,,,,1.0,,2017
Belarus,83,50,33,,12.0,,2.0,1.0,,,2.0,,,7.0,,,,,3.0,,,3.0,,2.0,,,,,,,,,,,,,,,,,,1.0,5.0,,12.0,2017
Austria,93,93,0,4.0,,,6.0,,1.0,,,,7.0,,,3.0,,1.0,,5.0,,2.0,1.0,12.0,,4.0,3.0,1.0,2.0,10.0,,3.0,7.0,5.0,,4.0,1.0,,,3.0,,3.0,1.0,4.0,,2017
Armenia,79,58,21,,,4.0,,,4.0,7.0,1.0,,1.0,,,,,,8.0,3.0,,6.0,,4.0,,5.0,1.0,4.0,,,,,,3.0,,,,2.0,3.0,,2.0,,,,,2017
Netherlands,150,135,15,3.0,,7.0,,,,,,,5.0,12.0,4.0,1.0,,4.0,,2.0,4.0,,,10.0,,,4.0,,7.0,3.0,7.0,,4.0,1.0,,5.0,12.0,8.0,1.0,,8.0,4.0,8.0,8.0,3.0,2017
Moldova,374,110,264,8.0,10.0,,1.0,3.0,,,,6.0,3.0,,2.0,7.0,3.0,,7.0,,,,8.0,,,7.0,10.0,8.0,,6.0,,,,,,,8.0,,,,,6.0,,3.0,4.0,2017
Hungary,200,48,152,,,,,,,,3.0,,,5.0,,,,,,,1.0,1.0,,,4.0,10.0,,,1.0,,3.0,,,,,,,,,,,,12.0,,8.0,2017
Italy,334,126,208,6.0,,3.0,,2.0,8.0,12.0,12.0,,,6.0,7.0,10.0,7.0,10.0,4.0,8.0,,,2.0,,5.0,8.0,,,,,2.0,,,2.0,10.0,,,,2.0,,,,,,,2017
Denmark,77,69,8,5.0,,,,,,,,7.0,,,8.0,,4.0,,,,5.0,,,,3.0,,5.0,,,,,8.0,,,,3.0,5.0,5.0,,,,2.0,3.0,6.0,,2017
Portugal,758,382,376,12.0,8.0,12.0,12.0,12.0,,6.0,10.0,10.0,10.0,8.0,10.0,12.0,8.0,12.0,5.0,12.0,8.0,7.0,12.0,,12.0,12.0,7.0,5.0,10.0,,12.0,12.0,5.0,12.0,8.0,10.0,6.0,12.0,12.0,8.0,12.0,12.0,7.0,12.0,10.0,2017
Azerbaijan,120,78,42,,,5.0,,,,2.0,,,,,,,,,10.0,,,5.0,,5.0,,,,12.0,,12.0,,,1.0,10.0,1.0,,,4.0,,4.0,1.0,,,,6.0,2017
Croatia,128,25,103,,1.0,,,,5.0,,6.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,3.0,,,,,,,,7.0,2017
Australia,173,171,2,10.0,,,5.0,,,4.0,,8.0,8.0,,3.0,8.0,10.0,2.0,,1.0,7.0,4.0,,,10.0,3.0,,,5.0,5.0,4.0,4.0,,,4.0,7.0,4.0,7.0,7.0,6.0,7.0,10.0,6.0,10.0,2.0,2017
Greece,77,48,29,,5.0,,,,12.0,1.0,,,,,,2.0,,,,,,,10.0,6.0,,,,,,,,,,,12.0,,,,,,,,,,,2017
Spain,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
Norway,158,129,29,,,10.0,7.0,5.0,,,,2.0,6.0,3.0,,,1.0,7.0,,10.0,10.0,,5.0,,1.0,,,3.0,12.0,2.0,5.0,7.0,2.0,7.0,,6.0,,6.0,,7.0,3.0,,2.0,,,2017
United Kingdom,111,99,12,,,6.0,4.0,,,8.0,,3.0,,1.0,1.0,,2.0,3.0,1.0,,6.0,,4.0,,7.0,,12.0,,6.0,,,5.0,,,5.0,,,3.0,10.0,2.0,5.0,,,5.0,,2017
Cyprus,68,36,32,2.0,,,,,,,,,,,,,5.0,,12.0,,,,7.0,,,,,,,1.0,,,,4.0,,,,,,5.0,,,,,,2017
Romania,282,58,224,,3.0,,3.0,,10.0,3.0,5.0,4.0,,,,,,,6.0,,,12.0,,3.0,,,,,,,,1.0,8.0,,,,,,,,,,,,,2017
Germany,6,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,2017
Ukraine,36,12,24,,7.0,,,4.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2017
Belgium,363,108,255,1.0,,8.0,10.0,8.0,6.0,,,,2.0,2.0,,4.0,,,,4.0,2.0,,,,2.0,,,7.0,,8.0,6.0,2.0,12.0,,3.0,,,,5.0,,10.0,5.0,,,1.0,2017
Sweden,344,218,126,,,,,10.0,7.0,,,1.0,12.0,4.0,6.0,5.0,12.0,8.0,,6.0,3.0,8.0,6.0,,8.0,2.0,6.0,10.0,4.0,7.0,10.0,6.0,6.0,8.0,6.0,8.0,7.0,1.0,6.0,12.0,4.0,8.0,4.0,7.0,,2017
Bulgaria,615,278,337,7.0,2.0,2.0,8.0,7.0,2.0,10.0,8.0,12.0,4.0,10.0,12.0,6.0,6.0,5.0,2.0,7.0,12.0,10.0,,,6.0,6.0,8.0,2.0,8.0,,8.0,10.0,10.0,6.0,7.0,12.0,10.0,10.0,8.0,10.0,6.0,7.0,10.0,2.0,,2017
France,135,45,90,,,,,6.0,3.0,5.0,4.0,5.0,,,,,,,,,,,3.0,,,,,6.0,,4.0,1.0,,,,2.0,,,,,1.0,,,,,5.0,2017
