Contestants,Total score,Jury score,Televoting score,Jury vote,Azerbaijan,Belarus,San Marino,Netherlands,Macedonia,Malta,Georgia,Spain,Austria,Denmark,United Kingdom,Sweden,Latvia,Albania,Croatia,Ireland,Romania,Czech Republic,Iceland,Moldova,Belgium,Norway,France,Italy,Australia,Estonia,Serbia,Cyprus,Armenia,Bulgaria,Greece,Hungary,Montenegro,Germany,Finland,Russia,Switzerland,Israel,Poland,Lithuania,Slovenia,Portugal,Year
Ukraine,130,11,119,,6.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,2018
Spain,61,43,18,,,,,,,,,,,6.0,1.0,,,,,1.0,10.0,,,,1.0,2.0,,,7.0,,,7.0,,,,,,6.0,,,,,,,,2.0,2018
Slovenia,64,41,23,5.0,,4.0,6.0,1.0,2.0,,,,5.0,,,,1.0,,,,1.0,7.0,,,,,2.0,,,,,,,,,,,,,,,4.0,,,,3.0,2018
Lithuania,181,90,91,,,5.0,,7.0,,,2.0,,,,,,4.0,,12.0,,6.0,1.0,,,,3.0,,,3.0,10.0,,,,10.0,,5.0,,4.0,,3.0,8.0,,1.0,,,6.0,2018
Austria,342,271,71,7.0,,10.0,,10.0,,1.0,8.0,8.0,,8.0,12.0,10.0,7.0,,,5.0,12.0,5.0,12.0,3.0,12.0,8.0,7.0,7.0,5.0,12.0,4.0,2.0,1.0,12.0,,8.0,,10.0,7.0,,4.0,12.0,12.0,12.0,10.0,8.0,2018
Estonia,245,143,102,1.0,3.0,,5.0,4.0,12.0,,10.0,1.0,2.0,7.0,6.0,,8.0,,,3.0,3.0,,7.0,12.0,,,,4.0,8.0,,3.0,1.0,,,3.0,,5.0,2.0,,6.0,10.0,,,,5.0,12.0,2018
Norway,144,60,84,,,8.0,,3.0,,4.0,,,,,5.0,2.0,,,5.0,,,,,2.0,,,,12.0,,4.0,6.0,,,,,2.0,7.0,,,,,,,,,,2018
Portugal,39,21,18,,,,,2.0,,,,,,,,,,,,6.0,,,,,,,,,,3.0,,,,,,,,,,,3.0,,,7.0,,,2018
United Kingdom,48,23,25,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,3.0,6.0,,,,,,,,,2.0,,,,,8.0,,,,,2018
Serbia,113,38,75,,10.0,,3.0,,8.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,2.0,,12.0,,,,,,,,,,2018
Germany,340,204,136,,2.0,,10.0,12.0,3.0,,7.0,7.0,10.0,12.0,,1.0,3.0,6.0,,8.0,4.0,,6.0,4.0,5.0,12.0,8.0,10.0,10.0,6.0,10.0,,5.0,6.0,,,,,1.0,4.0,12.0,5.0,10.0,5.0,,,2018
Albania,184,126,58,,12.0,7.0,,,6.0,,4.0,,7.0,,7.0,,,,1.0,2.0,,6.0,10.0,,2.0,,,,,,1.0,6.0,,7.0,7.0,10.0,10.0,,,,,,7.0,,4.0,10.0,2018
France,173,114,59,12.0,,,,,,8.0,,6.0,,2.0,,5.0,10.0,7.0,6.0,4.0,,,3.0,,3.0,7.0,,,,,,3.0,4.0,5.0,5.0,,,,5.0,2.0,,,,10.0,2.0,5.0,2018
Czech Republic,281,66,215,4.0,,6.0,,,4.0,5.0,,4.0,3.0,,,,,1.0,4.0,,,,1.0,,7.0,,4.0,,1.0,,,5.0,6.0,8.0,,,,,,,,,,,3.0,,2018
