Contestants,Total score,Jury score,Televoting score,Israel,Poland,San Marino,Albania,Malta,Estonia,North Macedonia,Azerbaijan,Norway,Spain,Austria,United Kingdom,Italy,Slovenia,Greece,Latvia,Ireland,Moldova,Serbia,Bulgaria,Cyprus,Belgium,Germany,Australia,Finland,Portugal,Ukraine,Iceland,Romania,Croatia,Czech Republic,Georgia,Lithuania,Denmark,Russia,France,Sweden,Switzerland,Netherlands,Year
Cyprus,94,50,44,3.0,,,7.0,4.0,,2.0,,,6.0,,,,,12.0,,,1.0,,,,,7.0,4.0,,,,,,,,,,,2.0,2.0,,,,2021
Albania,57,22,35,,,2.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,1.0,2021
Israel,93,73,20,,6.0,,,,,8.0,,8.0,3.0,,6.0,4.0,1.0,,,,,2.0,3.0,,,,,,,7.0,,,5.0,,,1.0,1.0,5.0,5.0,4.0,,4.0,2021
Belgium,74,71,3,6.0,3.0,,,,,,3.0,,,,1.0,5.0,6.0,3.0,,3.0,,,,4.0,,,,,5.0,6.0,,,,3.0,,7.0,,3.0,6.0,1.0,,6.0,2021
Russia,204,104,100,7.0,1.0,,,,,1.0,12.0,,,,,,8.0,2.0,1.0,,10.0,,,6.0,7.0,2.0,1.0,4.0,10.0,,2.0,,4.0,2.0,,,,,10.0,3.0,3.0,8.0,2021
Malta,255,208,47,5.0,4.0,7.0,8.0,,1.0,5.0,7.0,12.0,8.0,4.0,,7.0,5.0,6.0,2.0,10.0,7.0,,5.0,10.0,5.0,8.0,12.0,1.0,4.0,5.0,1.0,12.0,3.0,7.0,1.0,3.0,4.0,4.0,,12.0,6.0,7.0,2021
Portugal,153,126,27,,8.0,,,7.0,5.0,,2.0,,5.0,7.0,7.0,6.0,,,,,2.0,5.0,6.0,1.0,1.0,,,,,2.0,10.0,10.0,1.0,12.0,8.0,6.0,,,8.0,,7.0,,2021
Serbia,102,20,82,,,,1.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,2021
United Kingdom,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021
Greece,170,91,79,,,8.0,6.0,6.0,,,10.0,1.0,1.0,,,,3.0,,,,8.0,3.0,8.0,12.0,,,,2.0,,,4.0,,,,,,,7.0,12.0,,,,2021
Switzerland,432,267,165,12.0,7.0,4.0,12.0,10.0,12.0,6.0,,7.0,10.0,10.0,8.0,,7.0,,12.0,5.0,3.0,1.0,,2.0,12.0,10.0,10.0,12.0,7.0,8.0,12.0,7.0,8.0,5.0,10.0,8.0,12.0,1.0,7.0,5.0,,5.0,2021
Iceland,378,198,180,,10.0,,,,8.0,4.0,,2.0,7.0,12.0,10.0,8.0,10.0,,10.0,8.0,5.0,7.0,,,3.0,3.0,8.0,8.0,8.0,4.0,,,10.0,8.0,6.0,4.0,10.0,,3.0,7.0,5.0,10.0,2021
Spain,6,6,0,,,,,,,,,,,,2.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,2021
Moldova,115,53,62,,,5.0,,,,,8.0,,,,,,,10.0,,,,,12.0,,,,,,,,,6.0,,,,,,12.0,,,,,2021
Germany,3,3,0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2021
Finland,301,83,218,,2.0,1.0,3.0,2.0,7.0,,,,,1.0,4.0,10.0,4.0,,4.0,,,10.0,1.0,3.0,8.0,,,,,,5.0,8.0,,1.0,,,8.0,,,,1.0,,2021
Bulgaria,170,140,30,1.0,,3.0,,,6.0,,1.0,6.0,4.0,5.0,5.0,,,8.0,5.0,1.0,12.0,6.0,,5.0,6.0,,2.0,10.0,12.0,,8.0,2.0,,4.0,4.0,2.0,6.0,6.0,,,10.0,,2021
Lithuania,220,55,165,10.0,,6.0,,,2.0,,,,2.0,,,12.0,,,6.0,4.0,,,,,,1.0,,3.0,,,,,2.0,,3.0,,,,,,4.0,,2021
Ukraine,364,97,267,4.0,,,,5.0,4.0,,6.0,3.0,,,,1.0,,1.0,7.0,6.0,,,,,10.0,5.0,5.0,,2.0,,3.0,5.0,,,7.0,12.0,,,,8.0,,3.0,2021
France,499,248,251,8.0,,12.0,10.0,3.0,10.0,7.0,4.0,4.0,12.0,8.0,12.0,3.0,2.0,5.0,3.0,12.0,4.0,12.0,7.0,7.0,,12.0,7.0,7.0,6.0,10.0,6.0,4.0,6.0,10.0,,5.0,,,,6.0,12.0,12.0,2021
Azerbaijan,65,32,33,2.0,,,2.0,,,,,,,,,,,,,2.0,6.0,,,,,,,,,3.0,,,,,5.0,,,8.0,,,2.0,2.0,2021
Norway,75,15,60,,,,,,,,,,,,,2.0,,,,7.0,,,,,,,,,,1.0,,,,,,,3.0,,,2.0,,,2021
Netherlands,11,11,0,,,,,,,,,,,3.0,,,,,,,,,2.0,,,,3.0,,1.0,,,,,,2.0,,,,,,,,2021
Italy,524,206,318,,5.0,10.0,4.0,,3.0,10.0,,5.0,,6.0,,,12.0,4.0,8.0,,,8.0,10.0,8.0,2.0,6.0,6.0,6.0,3.0,12.0,7.0,3.0,12.0,6.0,12.0,10.0,,10.0,,10.0,8.0,,2021
Sweden,109,46,63,,,,,8.0,,3.0,5.0,10.0,,,,,,,,,,4.0,,,4.0,4.0,,5.0,,,,,,,,,2.0,,1.0,,,,2021
San Marino,50,37,13,,12.0,,5.0,1.0,,,,,,,3.0,,,7.0,,,,,,,,,,,,,,,,,,,5.0,,4.0,,,,2021
