Contestants,Total score,Jury score,Televoting score,Austria,Iceland,Azerbaijan,San Marino,Czech Republic,Ireland,Georgia,Bosnia and Herzegovina,Malta,Spain,Finland,Switzerland,Denmark,France,Moldova,Armenia,Cyprus,Bulgaria,Netherlands,Latvia,Israel,Belarus,Germany,Russia,Norway,Australia,Belgium,United Kingdom,Croatia,Greece,Lithuania,Serbia,Macedonia,Albania,Estonia,Ukraine,Italy,Poland,Slovenia,Hungary,Montenegro,Sweden,Year
Belgium,181,130,51,,3.0,,,,,,,,,,,8.0,4.0,,,,,12.0,,1.0,,,,2.0,12.0,,,,,,5.0,4.0,,,,,,,,,,2016
Czech Republic,41,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
Netherlands,153,114,39,6.0,6.0,,,,,,,3.0,,,,7.0,,,,,,,,,,3.0,,,,10.0,,,,,,,,,,,,,2.0,,2.0,2016
Azerbaijan,117,44,73,,1.0,,,6.0,,7.0,8.0,6.0,,,,,,8.0,,,1.0,,3.0,2.0,8.0,,6.0,,,,,,,,,,,,10.0,,,,,7.0,,2016
Hungary,108,52,56,,,7.0,1.0,3.0,,2.0,1.0,5.0,,,,,,,3.0,4.0,,,,,3.0,,,,,,,3.0,2.0,2.0,10.0,,1.0,,,,6.0,,,3.0,,2016
Italy,124,90,34,,,,,,,,,7.0,3.0,,7.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,10.0,,,,,1.0,,4.0,,2016
Israel,135,124,11,,,6.0,,,,,,,,,,,3.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2016
Bulgaria,307,127,180,5.0,,8.0,3.0,5.0,5.0,3.0,2.0,8.0,12.0,4.0,,,5.0,2.0,,12.0,,1.0,1.0,7.0,4.0,4.0,,5.0,10.0,5.0,8.0,1.0,7.0,,8.0,10.0,8.0,,2.0,7.0,3.0,2.0,4.0,5.0,4.0,2016
Sweden,261,122,139,7.0,12.0,,4.0,2.0,2.0,,,,1.0,10.0,,12.0,2.0,,2.0,1.0,3.0,2.0,7.0,,2.0,8.0,2.0,7.0,,1.0,1.0,7.0,,7.0,1.0,,3.0,10.0,1.0,,10.0,5.0,7.0,,,2016
Germany,11,1,10,2.0,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016
France,257,148,109,1.0,5.0,4.0,,,,,4.0,2.0,10.0,3.0,3.0,2.0,,6.0,7.0,6.0,,4.0,,12.0,,,3.0,1.0,7.0,8.0,,2.0,4.0,3.0,,,,2.0,,5.0,,,1.0,1.0,3.0,2016
Poland,229,7,222,12.0,10.0,3.0,7.0,7.0,10.0,4.0,,,5.0,5.0,5.0,5.0,7.0,,1.0,2.0,6.0,10.0,5.0,4.0,6.0,10.0,5.0,10.0,,12.0,10.0,4.0,3.0,6.0,,2.0,5.0,1.0,8.0,10.0,,4.0,8.0,,10.0,2016
Australia,511,320,191,3.0,8.0,2.0,5.0,1.0,6.0,1.0,3.0,12.0,4.0,7.0,1.0,10.0,,5.0,,5.0,5.0,5.0,6.0,5.0,1.0,5.0,4.0,8.0,,4.0,6.0,5.0,5.0,5.0,6.0,3.0,12.0,4.0,4.0,,7.0,3.0,3.0,,12.0,2016
Cyprus,96,43,53,,,,,,,,,,,1.0,,,,,6.0,,7.0,,,,,,7.0,,,,2.0,,12.0,,3.0,,,3.0,,6.0,1.0,,5.0,,,2016
Serbia,115,35,80,4.0,,,,,,,12.0,,,,12.0,,,,,,,,,,,,,,,,,12.0,,,,12.0,,,,4.0,,12.0,,12.0,,2016
Lithuania,200,104,96,,4.0,,8.0,,12.0,5.0,,,,,,6.0,,3.0,,3.0,,,8.0,,,,,12.0,1.0,,12.0,,,,,,4.0,5.0,3.0,2.0,,,,2.0,6.0,2016
Croatia,73,40,33,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,,,8.0,,6.0,,2016
Russia,491,130,361,8.0,7.0,12.0,10.0,10.0,8.0,8.0,6.0,10.0,8.0,8.0,6.0,4.0,6.0,12.0,12.0,10.0,12.0,3.0,12.0,10.0,12.0,12.0,,6.0,5.0,6.0,7.0,8.0,10.0,8.0,12.0,8.0,7.0,12.0,12.0,8.0,8.0,10.0,10.0,10.0,8.0,2016
Spain,77,67,10,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,2.0,,4.0,,,,,,,,,,,,,,1.0,2016
Latvia,132,69,63,,,,6.0,,7.0,6.0,,,,2.0,,,,1.0,,,,,,,5.0,,1.0,3.0,,,3.0,,,12.0,,,,7.0,5.0,,5.0,,,,,2016
Ukraine,534,211,323,10.0,,10.0,12.0,12.0,4.0,10.0,7.0,4.0,7.0,12.0,4.0,3.0,10.0,10.0,10.0,7.0,10.0,7.0,10.0,8.0,10.0,6.0,10.0,4.0,8.0,2.0,5.0,10.0,6.0,10.0,7.0,6.0,6.0,8.0,,12.0,12.0,7.0,12.0,8.0,7.0,2016
Malta,153,137,16,,,5.0,,,,,,,,,,,,,5.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,2016
Georgia,104,80,24,,,1.0,,,,,,,,,,,,,8.0,,,,2.0,,,,,,,,,,,4.0,,,,,6.0,3.0,,,,,,2016
Austria,151,31,120,,2.0,,,4.0,1.0,,5.0,,2.0,6.0,10.0,1.0,8.0,4.0,4.0,,4.0,6.0,4.0,3.0,,7.0,8.0,,3.0,3.0,,6.0,1.0,1.0,,,,6.0,,,4.0,6.0,6.0,,5.0,2016
United Kingdom,62,54,8,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,2016
Armenia,249,115,134,,,,2.0,8.0,,12.0,,,6.0,,,,12.0,7.0,,8.0,8.0,8.0,,6.0,7.0,2.0,12.0,,,7.0,,,8.0,,2.0,7.0,2.0,,7.0,1.0,2.0,,,,,2016
